handle,title,Product Type,Category,tags,SKU,Weight,Better Home Price,Retail Price,Description,Brand,Features,Material,Returns Policy,Manufacturer URL,Warranty,url,Color,Finish,Material,Style,Image Src,Image Alt Text
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney,Chimney,Home Garden Kitchen Dining Kitchen Appliances Range Hoods,"Chimney, Electricals",KICH0022,0.0,15290.0,26990.0,"Faber Chimney This chimney makes your kitchen oil and smoke free. Auto clean helps in getting rid of oil particles itself with one touch. It prevents oil and grease particles which affect the suction power of chimney. Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filter less Chimney comes with higher suction power of 1200 m3hr , which helps you to cook your food easily and peacefully. Operate the chimney effortlessly with a simple touch or wave of your hand. Automatically cleans the internal components using heat and water, ensuring optimal performance. Buy original Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney at wholesale price in Better Home",Faber,Mounting Type: Wall Mounted|Width: 60 cm|Suction: 1200 m3/hr|Function Type: Auto Clean|Filter Type: Filterless|Finish: Black|Control: Touch & Gesture|Lamp:  1.5W Led|Special Features: Auto clean alarm and soft light|Dimension(W x D x H) mm: 600x410x435 MM,,Immediately return goods on delivery in case of any damages found.,httpsfaberindia.comcollections60cm-chimneyproductskitchen-chimney-sunny-in-hc-sc-fl-lg-60,"2 years on product, 12 years on motor manufacturer warranty",https://betterhomeapp.com/products/faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View_3.webp?v=1746450177,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View 3
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney,Chimney,Home Garden Kitchen Dining Kitchen Appliances Range Hoods,"Chimney, Electricals",KICH0022,0.0,15290.0,26990.0,"Faber Chimney This chimney makes your kitchen oil and smoke free. Auto clean helps in getting rid of oil particles itself with one touch. It prevents oil and grease particles which affect the suction power of chimney. Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filter less Chimney comes with higher suction power of 1200 m3hr , which helps you to cook your food easily and peacefully. Operate the chimney effortlessly with a simple touch or wave of your hand. Automatically cleans the internal components using heat and water, ensuring optimal performance. Buy original Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney at wholesale price in Better Home",Faber,Mounting Type: Wall Mounted|Width: 60 cm|Suction: 1200 m3/hr|Function Type: Auto Clean|Filter Type: Filterless|Finish: Black|Control: Touch & Gesture|Lamp:  1.5W Led|Special Features: Auto clean alarm and soft light|Dimension(W x D x H) mm: 600x410x435 MM,,Immediately return goods on delivery in case of any damages found.,httpsfaberindia.comcollections60cm-chimneyproductskitchen-chimney-sunny-in-hc-sc-fl-lg-60,"2 years on product, 12 years on motor manufacturer warranty",https://betterhomeapp.com/products/faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View_1.webp?v=1746450177,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View 1
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,Daikin AC 2.02 Ton - Inverter - 4 Star - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser,Air Conditioner,Home Garden Household Appliances Climate Control Appliances Air Conditioners,Inverter Split AC,HAAC111132,0.0,64990.0,86800.0,Experience the powerful air conditioning with Daikin AC 2.02 Ton - Inverter - 4 Star Premium Series - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser. Buy original Daikin ACs at wholesale prices from Better Home.,Daikin,Model: FTKL71U| Indoor Unit Model Name: FTKL71UV16M| Outdoor Unit Model Name: RKL71UV16M| Type: Inverter Split| Capacity: 2.0 Ton or 7.03 KW| Star Rating: 4 Star| Power Supply: 1| Annual Power Consumption: 1184.53 KWH| Indoor Unit Dimensions: 352x1060x278 mm| Outdoor Unit Dimensions: 595x845x300 mm| IDU Net Weight (Gross Weight): 14 (19) Kg| ODU Net Weight (Gross Weight): 34.5(38.5)Kg| Operating Ambient Temperature Range: 20~52 C DB| Piping Length: 30 m| Piping Height: 20 m| Piping Connection: 15.9 / 6.4 (5/8/1/4)| Compressor Type: Swing Compressor| Breaker Size: 20 A| Refrigerant: R - 32| Condenser Coil: Copper| Remote Control: Yes| Sound Level: 49/46/44/41/39/32 dBA| Airflow Rate: 794.5 Feet/Min (CFM) or 22.5 Metre/Min (CMM)| Voltage Range: 130~265 V| Operating Current: 9.9 A| Operating Ambient Temperatur Range: 20-54 Celcius DB,,Immediately return goods on delivery in case of any damages found.,httpswww.daikinindia.comproducts-servicessplit-ac-residentialftkr7.1ftkl,"Manufacturer warranty for 1 year on Product, 5 Years on PCB Printed Circuit Board and 10 Years on Compressor.",https://betterhomeapp.com/products/daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-FrontView.png?v=1734121468,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-FrontView
lg-ac-1-0-ton-5-star-split-ac-with-ai-convertible-6-in-1-cooling-hd-filter-diet-mode-100-copper-tubes-2025-model-us-q14enze,"LG AC 1.0 Ton 5 Star Split AC with AI Convertible 6-in-1 Cooling, HD Filter, Diet Mode, 100 Copper Tubes, 2025 Model US-Q14ENZE",Air Conditioner,Home Garden Household Appliances Climate Control Appliances Air Conditioners,"1.0 Ton, 5 Star, Best Seller, Inverter Split AC, LG",HAAC111131,0.0,42390.0,75990.0,"The LG 1.0 Ton 5 Star Split AC Model US-Q14ENZE offers several advanced features for optimal cooling and energy efficiency. Dual Inverter Compressor LG Inverter ACs use Variable Tonnage Technology to adjust cooling by controlling compressor speed, ensuring faster cooling initially and energy savings once the desired temperature is reached. AI Convertible 6-in-1 Automatically adjusts parameters for perfect cooling, adapting to your lifestyle for better comfort. HD Filter with Anti-Virus Protection LG DUAL Inverter Air Conditioner now comes with an Anti-Virus protection layer fitted HD Filter. The filter mesh is coated with Cationic Silver Ions AgNPs that deactivates more than 99 Virus and Bacteria in contact. To be precise, it demobilizes up to 99.76 Virus and up to 99.99 Bacteria cleansing. Gold Fin A corrosion resistant coating for increased durability of your LG Air Conditioner. VIRAAT Mode Maximize your comfort in the scorching heat with a capacity boost of up to 116. Smart Dehumidification Monsoon Comfort Technology saves up to 30.8 energy in humid conditions compared to conventional dehumidification mode Auto Cleaning Automatically dries any moisture inside the air conditioner to ensure its always clean. ADC Sensor LG Air Conditioners comes with ADC Safety sensors as a built of robustness and power of safety at every step of operation Stabilizer Free Plus Advanced range of stabilizer-free operations that prevents voltage fluctuation and adds to your savings safety.",LG,"Model Name: US-Q14ENZE| Outdoor Unit Model Name: S3UQ12JA3BG.APXGIDA| Type: Inverter Split| Product Type: Wall Mounted| HVAC Type: C/O| Cooling Capacity Max(W): 4110| Cooling Power Consumption Rated/Min(W): 870/290| Energy Grade: 5 Star| Colour(Body): White| Display: LED| Cooling Capacity Rated/Min(W): 3500 / 520| Cooling Power Consumption Rated/Min(W): 870 / 290| Indoor Unit Dimension WxHxD(mm): 837x308x189| Cooling Capacity Max(W): 4110| Indoor Unit Weight(kg): 8.1| Outdoor Unit Dimension WxHxD(mm): 717x495x230| Outdoor Unit Weight(kg): 24.5| Product Type: Wall Mounted| Rated Input Voltage(V, Hz): 230,50| Refrigerant Type: R32| Sound Power(Cooling) SH/H/M/L/SL(dB(A)): 0 / 41 / 36 / 27 / 22| HVAC Type: C/O| Product Type II: Inverter| Himalaya Cool: Yes| 4way: Up-Down/Left-Right| Airflow direction control (Up & Down): Yes| Fan Speed: 5 Steps + Natural| 6-in-1 Cooling: Yes| Dehumidification: Yes| Humidity Sensor: Yes| Diet Mode: Yes| Energy Grade: 5 Star| Auto Restart: Yes| Fan Mode: Yes| Forced Switch Operation: Yes| Low Noise: Yes| On/Off Reservation(24Hr): Yes| Remote Controller: Basic| Reservation: Yes| Smart Diagnosis: Yes| Smart Guide: Yes",,Immediately return goods on delivery in case of any damages found.,httpswww.lg.cominair-conditionerssplit-air-conditionersus-q14enze,Manufacturer warranty for 5 Years on PCB Printed Circuit Boardand 10 Years on Inverter Compressor.,https://betterhomeapp.com/products/lg-ac-1-0-ton-5-star-split-ac-with-ai-convertible-6-in-1-cooling-hd-filter-diet-mode-100-copper-tubes-2025-model-us-q14enze,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/LG_AC_1.0_Ton_5_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_HD_Filter_Diet_Mode_100_Copper_Tubes_2025_Model_US-Q14ENZE.png?v=1743827724,LG_AC_1.0_Ton_5_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_HD_Filter_Diet_Mode_100_Copper_Tubes_2025_Model_US-Q14ENZE
lg-ac-1-0-ton-3-star-split-ac-with-ai-convertible-6-in-1-cooling-gold-fin-viraat-mode-dual-inverter-compressor-2025-model-us-q12bnxe,"LG AC 1.0 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin, Viraat Mode, Dual Inverter Compressor, 2025 Model US-Q12BNXE",Air Conditioner,Home Garden Household Appliances Climate Control Appliances Air Conditioners,"1.0 Ton, 1.5 Ton 3 Star Inverter Split AC, 3 star, Best Seller, Inverter Split AC",HAAC111130,0.0,37620.0,67990.0,"LG Inverter ACs use Variable Tonnage Technology to adjust cooling by controlling compressor speed, ensuring faster cooling initially and energy savings once the desired temperature is reached. AI Convertible 6-in-1 Automatically adjusts parameters for perfect cooling, adapting to your lifestyle for better comfort. Gold FinA corrosion resistant coating for increased durability of your LG Air Conditioner. VIRAAT Mode Maximize your comfort in the scorching heat with a capacity boost of up to 116. Smart Dehumidification Monsoon Comfort Technology saves up to 30.8 energy in humid conditions compared to conventional dehumidification mode. Auto Cleaning Automatically dries any moisture inside the air conditioner to ensure its always clean. ADC Sensor LG Air Conditioners comes with ADC Safety sensors as a built of robustness and power of safety at every step of operation Stabilizer Free Plus Advanced range of stabilizer-free operations that prevents voltage fluctuation and adds to your savings safety.",LG,"Model Name: Split Inverter AC_US-Q12BNXE| Outdoor Unit Model Name: S3UQ12JA3AP.APXZIDA| Type: Inverter Split| Product Type: Wall Mounted| HVAC Type: C/O| Cooling Capacity Max(W): 3650| Cooling Power Consumption Rated/Min(W): 1100 / 290| Energy Grade: 3 Star| Colour(Body): White| Display: 88 Hidden| Cooling Capacity Rated/Min(W): 3325 / 1390| Cooling Power Consumption Rated/Min(W): 1100 / 290| Indoor Unit Dimension WxHxD(mm): 837x308x189| Cooling Capacity Max(W): 3650| Indoor Unit Weight(kg): 7.3| Outdoor Unit Dimension WxHxD(mm): 717x495x230| Outdoor Unit Weight(kg): 22.6| Product Type: Wall Mounted| Rated Input Voltage(V, Hz): 230,50| Refrigerant Type: R32| Sound Power(Cooling) SH/H/M/L/SL(dB(A)): 45 / 41 / 35 / 27 / 21| HVAC Type: C/O| Product Type II: Inverter| Himalaya Cool: Yes| Airflow direction control (Left & Right): Manual| Airflow direction control (Up & Down): Yes| Fan Speed: 6 Steps| 6-in-1 Cooling: Yes| Diet Mode: Yes| Active Energy Control: Yes| Energy Grade: 3 Star| Auto Restart: Yes| Fan Mode: Yes| Forced Switch Operation: Yes| On/Off Reservation(24Hr): Yes| Remote Controller: Basic| Reservation: Yes| Smart Diagnosis: Yes| Smart Guide: Yes| Stabilizer Free operation: Yes| Auto Cleaning: Yes",,Immediately return goods on delivery in case of any damages found.,httpswww.lg.cominair-conditionerssplit-air-conditionersus-q12bnxe,Manufacturer warranty for 5 Years on PCB Printed Circuit Boardand 10 Years on Inverter Compressor.,https://betterhomeapp.com/products/lg-ac-1-0-ton-3-star-split-ac-with-ai-convertible-6-in-1-cooling-gold-fin-viraat-mode-dual-inverter-compressor-2025-model-us-q12bnxe,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/LG_AC_1.0_Ton_3_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Gold_Fin_Viraat_Mode_Dual_Inverter_Compressor_2025_Model_US-Q12BNXE-Open_View.png?v=1743790424,LG_AC_1.0_Ton_3_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Gold_Fin_Viraat_Mode_Dual_Inverter_Compressor_2025_Model_US-Q12BNXE-Open_View
lg-ac-1-5-ton-5-star-split-ac-with-ai-convertible-6-in-1-cooling-anti-virus-protection-smart-dehumidification-2025-model-us-q19knze1,"LG AC 1.5 Ton 5 Star Split AC with AI Convertible 6-in-1 Cooling, Anti Virus Protection, Smart Dehumidification, 2025 Model US-Q19KNZE1",Air Conditioner,Home Garden Household Appliances Climate Control Appliances Air Conditioners,"1.5 Ton 3 Star Inverter Split AC, Best Seller, Inverter Split AC",HAAC111129,0.0,48800.0,79900.0,"LG Inverter ACs use Variable Tonnage Technology to adjust cooling by controlling compressor speed, ensuring faster cooling initially and energy savings once the desired temperature is reached. AI Convertible 6-in-1 Automatically adjusts parameters for perfect cooling, adapting to your lifestyle for better comfort. Gold FinA corrosion resistant coating for increased durability of your LG Air Conditioner. VIRAAT Mode Maximize your comfort in the scorching heat with a capacity boost of up to 116. Smart Dehumidification Monsoon Comfort Technology saves up to 30.8 energy in humid conditions compared to conventional dehumidification mode. Auto Cleaning Automatically dries any moisture inside the air conditioner to ensure its always clean. ADC Sensor LG Air Conditioners comes with ADC Safety sensors as a built of robustness and power of safety at every step of operation Stabilizer Free Plus Advanced range of stabilizer-free operations that prevents voltage fluctuation and adds to your savings safety.",LG,"Model Name: US-Q19KNZE1| Outdoor Unit Model Name: USUQ19KNZE1| Type: Inverter Split| Product Type: Wall Mounted| HVAC Type: C/O| Cooling Capacity Max(W): 5800| Cooling Power Consumption Rated/Min(W): 1310| Energy Grade: 5 Star| Colour(Body): White| Display: 88 Hidden| Cooling Capacity Rated/Min(W): 5000| Cooling Power Consumption Rated/Min(W): 1310| Indoor Unit Dimension WxHxD(mm): 998 x 345 x 210| Cooling Capacity Max(W): 5800| Indoor Unit Weight(kg): 11.0| Outdoor Unit Dimension WxHxD(mm): 770 x 545 x 288| Outdoor Unit Weight(kg): 28.5| Product Type: Wall Mounted| Rated Input Voltage(V, Hz): 187 ~ 276, 50| Refrigerant Type: R32| Sound Power(Cooling) SH/H/M/L/SL(dB(A)):45 / 39 / 31| HVAC Type: C/O| Product Type II: Inverter| Himalaya Cool: Yes| 4way: Up-Down/Left-Right| Airflow direction control (Up & Down): Yes(6 Steps)| Fan Speed: 6 Steps| 6-in-1 Cooling: Yes| Diet Mode: Yes| Dehumidification: Yes| Energy Grade: 5 Star| Auto Restart: Yes| Fan Mode: Yes| Forced Switch Operation: Yes| Low Noise: Yes| On/Off Reservation(24Hr): Yes| Remote Controller: Basic| Reservation: Yes| Smart Diagnosis: Yes| Smart Guide: Yes| Stabilizer Free operation: Yes| Auto Cleaning: Yes",,Immediately return goods on delivery in case of any damages found.,httpswww.lg.cominair-conditionerssplit-air-conditionersus-q19knze1srsltidAfmBOooE667_3468zmpa0fyPZNwe3fIAbwwjqaFypwLZfnA8wsSTU2b9,Manufacturer warranty for 5 Years on PCB Printed Circuit Boardand 10 Years on Inverter Compressor.,https://betterhomeapp.com/products/lg-ac-1-5-ton-5-star-split-ac-with-ai-convertible-6-in-1-cooling-anti-virus-protection-smart-dehumidification-2025-model-us-q19knze1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/LG_AC_1.5_Ton_5_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Anti_Virus_Protection_Smart_Dehumidification_2025_Model_US-Q19KNZE1_-_Full_View2_png.png?v=1743772284,LG_AC_1.5_Ton_5_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Anti_Virus_Protection_Smart_Dehumidification_2025_Model_US-Q19KNZE1_-_Full_View2_png
bosch-built-in-gas-hob-5-burner-90cm-series-6-pnv9b6f20i-tempered-glass-black,Bosch Built-in Gas Hob 5 Burner 90CM Series 6 PNV9B6F20I Tempered glass Black,Hob Top,Home Garden Kitchen Dining Kitchen Appliances,"Best Seller, Bosch, Hob",HAHB0004,0.0,58990.0,65490.0,"The Bosch Built-in Gas Hob 5 Burner 90CM Series 6 model PNV9B6F20I features a sleek design with a tempered glass surface in black. Here are some key features 5 Burners Offers versatility for cooking multiple dishes at once. Tempered Glass 6mm Tempered Glass. Durable and easy to clean, providing a modern aesthetic. High Efficiency Designed for efficient gas usage and quick heating. Flame Failure Safety Device Ensures safety by automatically turning off the gas if the flame goes out. Easy to Use Controls User-friendly knobs for precise control over flame levels. Low Profile Stainless Steel Cooking Surface is Easily Accessible and Quick to Clean This hob is ideal for those looking to enhance their kitchen with a stylish, functional cooking appliance Buy original Bosch Built-in Gas Hob 5 Burner 90CM Series 6 PNV9B6F20I Tempered glass Black at wholesale prices from Better Home.",Bosch,"Energy input: Gas| Type of control setting and signalling devices: sword knobs| Safety device: Flame failure safety device| Power consumption off: 0.0 W| Colour of frame: Black| Colour of surface: Black| Length electrical supply cord: 150.0 cm| Energy input: Gas| Frequency: 50 Hz| Built-in / Free-standing: Built-in| Number of electric plates: 0| Number of electric cooking zones: 0| Type of frame: For a flush or slightly raised built-in solution.| Number of gas burners: 5| Number of halogen plates: 0| Installation typology: Built-in into the cabinet| Total number of positions that can be used at the same time: 5| Number of radiant plates: 0| Number of electric warming zones: 0| Dimensions: 56x915x520 mm| Net weight: 21.5kg| Type of safety device for gas: Electromagnetic for each burner| Gas connection: rear, right| Gas connection rating: 13,700 W",,Immediately return goods on delivery in case of any damages found.,httpswww.bosch-home.inproductlistcooking-bakingbuilt-in-hobsgas-hobsPNV9B6F20ITabssection-highlightsToggleboxmanuals,2 years product manufacturer warranty.,https://betterhomeapp.com/products/bosch-built-in-gas-hob-5-burner-90cm-series-6-pnv9b6f20i-tempered-glass-black,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_Built-in_Gas_Hob5_Burner_90CM_Series6_PNV9B6F20I_Tempered_glass_Black.webp?v=1743698466,Bosch_Built-in_Gas_Hob5_Burner_90CM_Series6_PNV9B6F20I_Tempered_glass_Black
bosch-truemixx-pro-mixer-grinder-1000w-mgm8842gin,Bosch TrueMixx Pro Mixer Grinder 1000W MGM8842GIN,Mixer Grinder,Home Garden Kitchen Dining Kitchen Appliances Food Mixers Blenders Food Mixers,"Best Seller, Mixer Grinder",HAMG0001,0.0,7000.0,11130.0,"The Bosch TrueMixx Pro Mixer Grinder MGM8842GIN is a powerful kitchen appliance designed to enhance your cooking experience. Powerful 1000W Ball bearing motor - designed to deliver a high torque for high performance grinding. Uniquely designed blunt Pounding Blade with thick edges which replicates pounding effect on dry ingredients, thus giving authentic texture and taste. The Bosch TrueMixx Pro Mixer Grinder MGM8842GIN is ideal for home cooks who seek efficiency and quality in food preparation. Its powerful performance and thoughtful design make it a valuable addition to any kitchen. Buy original Bosch TrueMixx Pro Mixer Grinder 1000W MGM8842GIN at wholesale prices from Better Home.",Bosch,"Dimensions: 495x210x219 mm| Maximum Power: 1,000 W| Main colour of product: Black grey| Max. rotation speed: 24,000 rpm| Material body: Plastic| Material of the mixing beaker: Stainless steel| Capacity: 1.5 l| Safety device: Overload fuse| Ice proof mixing beaker: Yes| Pulse function: Yes| Blade design: 4-wing blade, Chutney Grinding Blade Fixed, Dry grinding blade, detachable, Stainless steel, Stone pounding blade, Wet Grinding Blade detachable| Included accessories: . 1 x Plastic blender jar 1500ml fruit filter, 1 x Dry grinding jar 1000 ml, 1 x Chutney grinding jar 400 ml, 1 x Wet Grinding Jar 1500ml.| Gentle start up present: No| Cleaning type: Accessories removable| Blade removal: By hand, using spatula| All plastics that are in contact with food are BPA free: No| Number of speed settings: 3-stage| Dimensions of the packed product (HxWxD): 315 x 370 x 530 mm| Pallet dimensions: 210.0 x 80.0 x 120.0| Quantity per packing unit: 1| Standard number of units per pallet: 32| Net weight: 6.0 kg| Gross weight: 6.1 kg| Connection rating: 1000 W| Voltage: 230 V| Frequency: 50 Hz| Length electrical supply cord: 120.0 cm| Plug type: India plug (6 Ampere)",,Immediately return goods on delivery in case of any damages found.,httpswww.bosch-home.inproductlistkitchen-appliancesblendersMGM8842GINTabssection-similarproductToggleboxmanuals,2 Years Manufacture Warranty,https://betterhomeapp.com/products/bosch-truemixx-pro-mixer-grinder-1000w-mgm8842gin,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_TrueMixx_Pro_Mixer_Grinder_1000W_MGM8842GIN.webp?v=1743401939,Bosch_TrueMixx_Pro_Mixer_Grinder_1000W_MGM8842GIN
bosch-8kg-fully-automatic-front-load-condenser-tumble-dryer-series-4-wpg23108in-silver,Bosch 8Kg Fully Automatic Front Load Condenser Tumble Dryer Series 4 - WPG23108IN Silver,Cloth Dryers,Home Garden Household Appliances Laundry Appliances Dryers,"Best Seller, Bosch, Dryer, Front Load",HAWM011205,0.0,55295.0,65990.0,The Bosch 8Kg Fully Automatic Front Load Condenser Tumble Dryer Series 4 WPG23108IN in silver is a versatile appliance designed to efficiently dry your clothes. Auto Dry Automatically dries to the exact degree of dryness you want. Sensitive Drying System For gentle drying without wrinkles. Anti-crease laundry is automatically loosened once program finished and does not crease. Anti Vibration Design provides more stability and reduces vibration so noise is minimised Comfort Display easy to operate thanks to a big display. Buy original Bosch 8Kg Fully Automatic Front Load Condenser Tumble Dryer Series 4 - WPG23108IN Silver at wholesale prices from Better Home.,Bosch,"Built-in / Free-standing: Freestanding| Colour / Material body: Silver inox| Dimensions: 842x598x613 mm| Drum volume: 112 l| Net weight: 42.9 kg| Dryer type: Condensing| Installation typology: Freestanding| Loading capacity: 8.0 kg| Energy efficiency rating: B| Drum material: Stainless steel| Dryer type: Condensing| List of programmes: additional programmes| Digital countdown indicator: Yes| Start delay options: continuous| Door hinge: Right| Interior light: No| Removable top: No| Length electrical supply cord: 145.0 cm| Power consumption in off-mode - NEW (2010/30/EC): 0.15 W| Power consumption in left-on mode - NEW (2010/30/EC): 0.50 W| Available languages display: Symbols| Drying time selector: No| Fluff filter: Yes| Digital countdown indicator: Yes| End of cycle indicator: Acoustic, LED-display| Blocked filter indicator: Yes| Full tank indicator: Yes| Reverse tumble action: No| Start delay options: continuous| Connection rating: 2,800 W| Length electrical supply cord: 145.0 cm| Fuse protection: 13 A| Exhaust water pipe: No| Frequency: 50 Hz| Plug type: India plug (16 Ampere)| Vent hose: No| Voltage: 220-240 V",,Immediately return goods on delivery in case of any damages found.,httpswww.bosch-home.inproductlistwasher-dryerwashing-machinesfront-loading-washing-machinesWGA252ZSINTabssection-technicalspecsToggleboxmanuals,"2 Years Manufacture warranty on Product, 2 Years manufacture warranty on Motor",https://betterhomeapp.com/products/bosch-8kg-fully-automatic-front-load-condenser-tumble-dryer-series-4-wpg23108in-silver,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_8Kg_Fully_Automatic_Front_Load_Condenser_Tumble_Dryer_Series4-WPG23108IN_Silver-FrontView.webp?v=1743258681,Bosch_8Kg_Fully_Automatic_Front_Load_Condenser_Tumble_Dryer_Series4-Front View
bosch-10kg-fully-automatic-front-load-washing-machine-series-6-wga252zsin,Bosch 10Kg Fully Automatic Front Load Washing Machine Series 6 - WGA252ZSIN,Washing Machine,Home Garden Household Appliances,"Bosch, Front Load, Washing Machine",HAWM011204,0.0,48940.0,59990.0,Bosch front loading washing machine WGA13400IN has one touch start automatic program which selects the optimal programme settings for your laundry load. Buy original Bosch Top Load Washing Machine at wholesale prices from Better Home.,Bosch,"Built-in / Free-standing: Freestanding| Door hinge: left| Loading capacity: 10.0 kg| Colour / Material body: Silver| Delicates programme, Easy-care programme, Whites and coloureds programme, Woollens hand wash programme| Cottons programme: Standard cold - 90C| Easy-care programme: Standard cold - 60C| Wash optimization: Drain / Spin, Duvet, Easy iron, easy ironing steam assisted, extra Rinse, Hygiene, Mixed fabric 50 minute quick wash programme, Quick 15'/30', Ready, Shirts/ Blouses, Single Rinse, Speed Perfect, Spin speed reduction, stain selection, Start/Reload, Temperature selection.| Start delay options: continuous| Depth with open door 90 degree: 1,049 mm| Length electrical supply cord: 160.0 cm| Height of the appliance: 848 mm| Dimensions of the product: 848x598x590 mm| Wheels: No| Net weight: 73.7 kg| Drum volume: 60 l| Drum material: Stainless steel| Door Frame: Silver-black grey| Colour Buttons: White| Noise level washing: 54 dB(A) re 1pW.| Noise level spinning: 72 dB(A) re 1pW| Connection rating: 2300 W| Fuse protection: 10 A| Voltage: 220-240 V| Frequency: 50 Hz| Cord Included: Yes| Plug type: India plug (16 Ampere)| Length of supply hose (in): 47.24| Dimensions of the packed product: 34.44 x 25.78 x 27.95| Net weight: 163.000 lbs| Gross weight: 172.000 lbs| Length of drain hose: 150.00 cm| Length of supply hose: 120.00 cm| Dimensions of the packed product (HxWxD): 875 x 655 x 710 mm| Gross weight: 78.2 kg| Connection rating: 2300 W| Fuse protection: 10 A| Voltage: 220-240 V| Frequency: 50 Hz| Water protection system: Multiple water protection| Max. spin speed: 1200 rpm| Spin speed options: Variable| Digital countdown indicator: Yes| Drying progress indicator: LED-display, LED| Maximum capacity in kg (EU 2017/1369): 10.0 kg",,Immediately return goods on delivery in case of any damages found.,httpswww.bosch-home.inproductlistwasher-dryerwashing-machinesfront-loading-washing-machinesWGA252ZSINTabssection-technicalspecsToggleboxmanuals,"2 Years Manufacture warranty on Product, 10 Years manufacture warranty on Motor",https://betterhomeapp.com/products/bosch-10kg-fully-automatic-front-load-washing-machine-series-6-wga252zsin,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_10Kg_Fully_Automatic_Front_Load_WashingMachine_Series6-WGA252ZSIN-FrontView.webp?v=1743249733,Bosch_10Kg_Fully_Automatic_Front_Load_WashingMachine_Series6-WGA252ZSIN-FrontView
