Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Added 8% margin for ONDC (product.metafields.custom.added_8_margin_for_ondc),Brand (product.metafields.custom.brand),Colour (product.metafields.custom.colour),Default Delivery Fees (product.metafields.custom.default_delivery_fees),Default Discount (product.metafields.custom.default_discount),Default Tax (product.metafields.custom.default_tax),Dimension (product.metafields.custom.dimension),Expected Delivery In Hours (product.metafields.custom.expected_delivery_in_hours),Features (product.metafields.custom.features),Material (product.metafields.custom.material),Minimum Better Home Price (product.metafields.custom.minimum_better_home_price),Other Website Price (product.metafields.custom.other_website_price),Purchase Price (product.metafields.custom.purchase_price),Returns (product.metafields.custom.returns),Service (product.metafields.custom.service),source (product.metafields.custom.source),Warranty (product.metafields.custom.warranty),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Google Category (product.metafields.mm-google-shopping.google_product_category),Color (product.metafields.shopify.color-pattern),Energy efficiency class (product.metafields.shopify.energy-efficiency-class),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Hardware material (product.metafields.shopify.hardware-material),Light temperature (product.metafields.shopify.light-temperature),Orientation (product.metafields.shopify.orientation),Suitable space (product.metafields.shopify.suitable-space),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney,"<p><span><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LpFh6lGzPjk"" title=""Zolon Aluminium Glass Railing, Glass Balcony Railing, Staircase Railing | Better Home""></iframe><br>Faber Chimney: This chimney makes your kitchen oil and smoke free.  </span><span>Auto clean helps in getting rid of oil particles itself with one touch. It prevents oil and grease particles which affect the suction power of chimney.</span></p>
<p><span></span>Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filter less Chimney comes with higher suction power of <span>1200 m3/hr</span> , which helps you to cook your food easily and peacefully.</p>
<div class=""rte"">
<p>Operate the chimney effortlessly with a simple touch.</p>
<p>Automatically cleans the internal components using heat and water, ensuring optimal performance.</p>
<p> Buy original Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney at wholesale price in Better Home</p>
</div>",Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods,Chimney,"Chimney, Electricals",true,Title,Default Title,,,,,,,,KICH0022,0.0,,0,deny,manual,15290.00,26990.00,true,false,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View_3.webp?v=1746450177,1,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View 3,false,,"Faber Chimney: This chimney makes your kitchen oil and smoke free. Auto clean helps in getting rid of oil particles itself with one touch.

It prevents oil and grease particles which affect the suction power of chimney.

Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filter less Chimney comes with higher suction power of 1200 m3/hr , which helps you to cook your food easily and peacefully.

Operate the chimney effortlessly with a simple touch or wave of your hand.

Automatically cleans the internal components using heat and water, ensuring optimal performance.

Buy original Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney at wholesale price in Better Home",,,,,,,,,,,,,Faber,,,,,,,"Mounting Type: Wall Mounted
Width: 60 cm
Suction: 1200 m3/hr
Function Type: Auto Clean
Filter Type: Filterless 
Finish: Black 
Control: Touch & Gesture
Lamp:  1.5W Led
Special Features: Auto clean alarm and soft light
Dimension(W x D x H) mm: 600x410x435 MM
",,,,,Immediately return goods on delivery in case of any damages found.,,https://faberindia.com/collections/60cm-chimney/products/kitchen-chimney-sunny-in-hc-sc-fl-lg-60,"2 years on product, 12 years on motor manufacturer warranty",,,,,,,,,,,,,,,,,kg,,,true,,,active
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View_1.webp?v=1746450177,2,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View_2.webp?v=1746450177,3,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Full_View 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Side_View.webp?v=1746450063,4,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney-Side_View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faber-hood-magnus-3d-in-hc-sc-fl-ebk-60-autoclean-filterless-chimney-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney.webp?v=1746450009,5,Faber_Hood_Sunny_IN_HC_SC_FL_LG_60_Auto_Clean_Filterless_Chimney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,Daikin AC 2.02 Ton - Inverter - 4 Star -  Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser,"<p><span>Experience the powerful air conditioning with Daikin AC 2.02 Ton - Inverter - 4 Star -  Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser. </span><span>Buy original Daikin AC 2.02 Ton - Inverter - 4 Star -  Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser</span><span> at wholesale prices from Better Home.</span></p>
<p>Power Chill: Power chill operation of your AC ensures instant and faster cooling even in the extreme heat conditions. It cools 20% faster than the normal mode providing instant relief from the heat.</p>
<div class=""product-header-key"">Hepta Sense: Daikin Swing Inverter ACs has 7 Sensors located on IDU and ODU. Each of these sensors has role to play in the working of Air conditioner that improves overall performance, provide comfort to users and help to increase durability and life of the AC.</div>
<div class=""product-header-key""><br></div>
<div class=""product-header-key"">
<div class=""product-header-key"">Automatic Error Display: It auto detects the error and shows the related code on the IDU display. Now you can easily self diagnose the error and report it to your Daikin authorized service center for a quick resolution.</div>
<div class=""product-header-key""><br></div>
<div class=""product-header-key"">
<div class=""product-header-key"">PM 2.5 Filter: It is capable to Trap fine air particles upto 2.5 microns resulting clean and pure inside air.</div>
<div class=""product-header-key""><br></div>
<div class=""product-header-key"">
<div class=""product-header-key"">Coanda Airflow: Radiant cooling enhances comfort cooling by evenly distributing air in every corner of the room. With the help of one click on your remote control, experience enhanced comfort.</div>
<div class=""product-header-key""><br></div>
</div>
</div>
</div>
<div class=""product-header-key"">3 Stage Filteration: The 3 Stage Air Filtration process captures micro dust particles and eliminates pollutants &amp; airborne pathogens such as viruses, bacteria, mould, and fungi to make the indoor air clean, safe, and fresh.</div>
<div class=""product-header-key""><br></div>
<div class=""product-header-key"">
<div class=""product-header-key"">Air Throw upto 16 meters: With the Cross Flow Evaporator Fans, Daikin Air Conditioners ensure uniform cooling and a powerful air-flow that allows one to receive the cool air up to 16 meters* (52 Feet) away from the unit. The unique Cross Flow Evaporator Fans and Power Airflow Dual Flaps help in cooling down all sorts of spaces, big and small. Moreover, they help to ensure uniform cooling and deliver peace of mind.</div>
<div class=""product-header-key""><br></div>
</div>
<div class=""product-header-key"">DNNS Self Heal: very Daikin Room AC’s Indoor Unit (U-bend side) is coated with advanced anti-corrosive coating active agent DNNS (Di-Nonyl Nephthalene Sulfonic Acid). The coating has Self Healing properties that activates upon chipping, scratches due to environmental or chemical pollution.</div>",Better Home,Home & Garden > Household Appliances > Climate Control Appliances > Air Conditioners,Air Conditioner,Inverter Split AC,true,Title,Default Title,,,,,,,,HAAC111132,0.0,,-2,deny,manual,64990.00,86800.00,true,false,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-FrontView.png?v=1734121468,1,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-FrontView,false,,"Experience the powerful air conditioning with Daikin AC 2.02 Ton - Inverter - 4 Star Premium Series - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser. 
Buy original Daikin ACs at wholesale prices from Better Home.",,,,,,,,,,,,,Daikin,,,,,,,"· Model: FTKL71U
· Indoor Unit Model Name: FTKL71UV16M
· Outdoor Unit Model Name: RKL71UV16M
· Type: Inverter Split
· Capacity: 2.0 Ton or 7.03 KW
· Star Rating: 4 Star
· Power Supply: 1φ 
· Annual Power Consumption: 1184.53 KWH
· Indoor Unit Dimensions: 352x1060x278 mm
· Outdoor Unit Dimensions: 595x845x300 mm
· IDU Net Weight (Gross Weight): 14 (19) Kg
· ODU Net Weight (Gross Weight): 34.5(38.5)Kg
· Operating Ambient Temperature Range: 20~52 °C DB
· Piping Length: 30 m
· Piping Height: 20 m
· Piping Connection: Φ15.9 / φ6.4 (5/8”/1/4”)
· Compressor Type: Swing Compressor
· Breaker Size: 20 A
· Refrigerant: R - 32
· Condenser Coil: Copper
· Remote Control: Yes
· Sound Level: 49/46/44/41/39/32 dBA
· Airflow Rate: 794.5 Feet³/Min (CFM) or 22.5 Metre³/Min (CMM)
· Voltage Range: 130~265 V
· Operating Current: 9.9 A
· Operating Ambient Temperatur Range: 20-54 Celcius DB
",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.daikinindia.com/products-services/split-ac-residential/ftkr/7.1/ftkl,"Manufacturer warranty for 1 year on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor.",,,,,,,,,,,,,,,,,kg,,,true,,,active
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Dimension.jpg?v=1734121468,2,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Remote.jpg?v=1734121468,3,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Warranty.jpg?v=1734121468,4,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-EnergyGuide.jpg?v=1734121468,5,Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-EnergyGuide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
