SKU Code,Brand, Category,Product,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL
HAAC111118,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 3 Star - Split AC - FTKC50UV16V and RKC50UV16V - Copper Condenser,Standard,1,Bedroom,"58,200",36290,38104.5,,38104.5,38990,"40,990",,"39,000","19,200",896,2.47%,,
,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Inverter - 3 Star FTKC35UV16,Standard,1,Bedroom,47500,32290,33904.5,,33904.5,34990,"37,690",,"34,500","13,000",596,1.84%,,
,Daikin,Air Conditioner,Daikin AC 2.02 Ton - Inverter - 4 Star - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser ,Standard,1,Hall,"86,800",60590,63619.5,,63619.5,63290,"63,979",,"63,200","23,600",-420,-0.69%,,
HAAC111122,Daikin,Air Conditioner,Daikin AC 0.8 Ton - Non Inverter - 3 Star - Split AC - FTL30UV16V1 and RL35UV16V1 - Copper Condenser ,Standard,2,Bedroom,"38,100",25290,26554.5,,26554.5,27990,"27,290",,"27,000","11,100",446,1.76%,,
HAAC111121,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Non Inverter - 3 Star - Split AC - FTL35UV16W1 and RL35UV16W1 - Copper Condenser ,Standard,2,Bedroom,"46,000",33290,34955,,34955,35990,"34,990",,"34,800","11,200",-155,-0.46%,,
HAAC111120,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Non Inverter - 3 Star - Split AC - FTL50UV16U3 and RL50UV16U3 - Copper Condenser ,Premium,2,Bedroom,"55,600",39790,41779.5,,41779.5,42490,"44,590",,"40,855","14,745",-925,-2.32%,,
HAAC111109,Daikin,Air Conditioner,"Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKM35UV16 and RKM35UV16 - Copper Condenser
",Premium,,Bedroom,"55,500",39290,41254.5,,41254.5,41990,,,"40,917","14,583",-338,-0.86%,,
HAAC111110,Daikin,Air Conditioner,Daikin AC - 1.5 Ton - Inverter - 5 Star - Split AC - FTKM50UV16 and RKM50UV16 - Copper Condenser ,Premium,1,Bedroom,"67,200",45290,47554.5,,47554.5,47990,,,"47,806","19,394",252,0.56%,,
HAAC111112,Daikin,Air Conditioner,Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKU35UV16W and RKU35UV16W - Copper Condenser ,Premium,,Bedroom,"54,200",38290,40204.5,,40204.5,40990,"46,856",,"40,500","13,700",296,0.77%,,
,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 5 Star FTKU50UV16,Premium,3,Bedroom,64300,43290,45454.5,,45454.5,45990,"45,559",,"45,300","19,000",-155,-0.36%,,
