SKU Code,Brand, Category,Title,Default List,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL,URL
HAAC111118,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 3 Star - Split AC - FTKC50UV16V and RKC50UV16V - Copper Condenser,Standard List,Standard,1,Bedroom,"58,200","36,290","38,431",,"38,431","38,990","39,469","40,990","39,000","19,200","2,710",5.83%,"1. Energy-efficient for medium rooms, typically bedrooms: 966 units per year.
2. Coanda airflow gives even cooling across every corner.
3. PM 2.5 filter keeps indoor air cleaner and healthier.
4. 5 years for Printed Circuit Board and 10 years for compressor gives peace of mind.",https://betterhomeapp.com/cdn/shop/files/Daikin-1.5_Ton-3_Star-Inverter-Split_AC-_FTKC50UV16V_RKC50UV16V_Copper_Condenser_-Front_View.png?v=1734097761,https://betterhomeapp.com/products/daikin-ac-1-5-ton-inverter-3-star-split-ac-ftkc50uv16v-and-rkc50uv16v-copper-condenser?_pos=1&_psq=FTKC50UV16V&_ss=e&_v=1.0
,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Inverter - 3 Star FTKC35UV16,,Standard,1,Bedroom,47500,"32,290","34,195",,"34,195",34990,"37,690",,"34,500","13,000","2,210",5.35%,,,
HAAC111132,Daikin,Air Conditioner,Daikin AC 2.02 Ton - Inverter - 4 Star - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser ,,Standard,1,Hall,"86,800","60,590","64,165",,"64,165","63,290","63,979",,"63,200","23,600","2,610",3.37%,,https://betterhomeapp.com/cdn/shop/files/Daikin-2.02-Ton-3Star-Inverter-SplitAC-_FTKL71UV16T_RKL71UV16T_CopperCondenser_-FrontView.png?v=1734121468,https://betterhomeapp.com/products/daikin-ac-2-02-ton-inverter-4-star-split-ac-ftkl71uv16m-and-rkl71uv16m-copper-condenser
HAAC111122,Daikin,Air Conditioner,Daikin AC 0.8 Ton - Non Inverter - 3 Star - Split AC - FTL30UV16V1 and RL35UV16V1 - Copper Condenser ,,Standard,3,Bedroom,"38,100","25,290","26,782",,"26,782","27,990","27,290",,"27,000","11,100","1,710",5.28%,,https://betterhomeapp.com/cdn/shop/files/Daikin-0.8-Ton-3-Star-NonInverter-SplitAC-_FTL30UV16V1_RL35UV16V1_CopperCondenser_-FrontImage.png?v=1733940370,https://betterhomeapp.com/products/daikin-ac-0-8-ton-non-inverter-3-star-split-ac-ftl30uv16v1-and-rl35uv16v1-copper-condenser?_pos=1&_psq=FTL30&_ss=e&_v=1.0
HAAC111121,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Non Inverter - 3 Star - Split AC - FTL35UV16W1 and RL35UV16W1 - Copper Condenser ,,Standard,2,Bedroom,"46,000","33,290","35,254",,"35,254","35,990","34,990",,"34,800","11,200","1,510",3.54%,,https://betterhomeapp.com/cdn/shop/files/Daikin-1.0-Ton-3Star-NonInverter-SplitAC-_FTL35UV16W1_RL35UV16W1_CopperCondenser_-FrontView.png?v=1733935962,https://betterhomeapp.com/products/daikin-ac-1-0-ton-non-inverter-3-star-split-ac-ftl35uv16w1-and-rl35uv16w1-copper-condenser?
HAAC111120,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Non Inverter - 3 Star - Split AC - FTL50UV16U3 and RL50UV16U3 - Copper Condenser ,,Premium,2,Bedroom,"55,600","39,790","42,138",,"42,138","42,490","44,590",,"40,855","14,745","1,065",2.09%,,https://betterhomeapp.com/cdn/shop/files/Daikin-1.0-Ton-3Star-NonInverter-SplitAC-_FTL35UV16W1_RL35UV16W1_CopperCondenser_-FrontView.png?v=1733935962,https://betterhomeapp.com/products/daikin-ac-1-5-ton-non-inverter-3-star-split-ac-ftl50uv16u3-and-rl50uv16u3-copper-condenser?_pos=1&_sid=1233a8b4f&_ss=r
HAAC111109,Daikin,Air Conditioner,"Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKM35UV16 and RKM35UV16 - Copper Condenser
",,Premium,3,Bedroom,"55,500","39,290","41,608",,"41,608","41,990",,,"40,917","14,583","1,627",3.24%,,https://betterhomeapp.com/cdn/shop/files/Daikin-1.0-Ton-5Star-Inverter-SplitAC-_FTKM35UV16_RKM35UV16_CopperCondenser_-FrontView.png?v=1733976709,https://betterhomeapp.com/products/daikin-ac-1-0-ton-inverter-5-star-split-ac-ftkm35uv16-and-rkm35uv16-copper-condenser?_pos=1&_sid=bbd22be1d&_ss=r
HAAC111110,Daikin,Air Conditioner,Daikin AC - 1.5 Ton - Inverter - 5 Star - Split AC - FTKM50UV16 and RKM50UV16 - Copper Condenser ,,Premium,3,Bedroom,"67,200","45,290","47,962",,"47,962","47,990",,,"47,806","19,394","2,516",4.34%,,https://betterhomeapp.com/cdn/shop/files/Daikin-1.5-Ton-5Star-Inverter-SplitAC-_FTKM50UV16_RKM50UV16_CopperCondenser_-FrontView.png?v=1734004549,https://betterhomeapp.com/products/daikin-ac-1-5-ton-inverter-5-star-split-ac-ftkm50uv16-and-rkm50uv16-copper-condenser?_pos=1&_sid=1974839cd&_ss=r
HAAC111112,Daikin,Air Conditioner,Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKU35UV16W and RKU35UV16W - Copper Condenser ,,Premium,3,Bedroom,"54,200","38,290","40,549",,"40,549","40,990","46,856",,"40,500","13,700","2,210",4.51%,,https://betterhomeapp.com/cdn/shop/files/Daikin-1.0Ton-5Star-Inverter-SplitAC-_FTKU35UV16W_RKU35UV16W_CopperCondenser_-FullView.png?v=1733802210,https://betterhomeapp.com/products/daikin-ac-1-0-ton-inverter-5-star-split-ac-ftku35uv16w-and-rku35uv16w-copper-condenser?_pos=1&_sid=8cd68d8de&_ss=r
,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 5 Star FTKU50UV16,,Premium,3,Bedroom,64300,"43,290","45,844",,"45,844",45990,"45,559",,"45,300","19,000","2,010",3.63%,,,
