SKU Code,Brand, Category,Product,Standard/Premium,Priority,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits
HAAC111118,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 3 Star - Split AC - FTKC50UV16V and RKC50UV16V - Copper Condenser,Standard,1,"58,200",36290,38104.5,,38104.5,38990,"40,990",,"39,000","19,200","2,710",7.47%,
,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Inverter - 3 Star FTKC35UV16,Standard,1,47500,32290,33904.5,,33904.5,34990,"37,690",,"34,500","13,000","2,210",6.84%,
,Daikin,Air Conditioner,Daikin AC 2.02 Ton - Inverter - 4 Star - Split AC - FTKL71UV16M and RKL71UV16M - Copper Condenser ,Standard,1,"86,800",60590,63619.5,,63619.5,63290,"63,979",,"63,200","23,600","2,610",4.31%,
HAAC111122,Daikin,Air Conditioner,Daikin AC 0.8 Ton - Non Inverter - 3 Star - Split AC - FTL30UV16V1 and RL35UV16V1 - Copper Condenser ,Standard,2,"38,100",25290,26554.5,,26554.5,27990,"27,290",,"27,000","11,100","1,710",6.76%,
HAAC111121,Daikin,Air Conditioner,Daikin AC 1.0 Ton - Non Inverter - 3 Star - Split AC - FTL35UV16W1 and RL35UV16W1 - Copper Condenser ,Standard,2,"46,000",33290,34955,,34955,35990,"34,990",,"34,800","11,200","1,510",4.54%,
HAAC111120,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Non Inverter - 3 Star - Split AC - FTL50UV16U3 and RL50UV16U3 - Copper Condenser ,Premium,2,"55,600",39790,41779.5,,41779.5,42490,"44,590",,"40,855","14,745","1,065",2.68%,
HAAC111109,Daikin,Air Conditioner,"Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKM35UV16 and RKM35UV16 - Copper Condenser
",Premium,,"55,500",39290,41254.5,,41254.5,41990,,,"40,917","14,583","1,627",4.14%,
HAAC111110,Daikin,Air Conditioner,Daikin AC - 1.5 Ton - Inverter - 5 Star - Split AC - FTKM50UV16 and RKM50UV16 - Copper Condenser ,Premium,1,"67,200",45290,47554.5,,47554.5,47990,,,"47,806","19,394","2,516",5.56%,
HAAC111112,Daikin,Air Conditioner,Daikin AC - 1.0 Ton - Inverter - 5 Star - Split AC - FTKU35UV16W and RKU35UV16W - Copper Condenser ,Premium,,"54,200",38290,40204.5,,40204.5,40990,"46,856",,"40,500","13,700","2,210",5.77%,
,Daikin,Air Conditioner,Daikin AC 1.5 Ton - Inverter - 5 Star FTKU50UV16,Premium,3,64300,43290,45454.5,,45454.5,45990,"45,559",,"45,300","19,000","2,010",4.64%,
HAAC111128,LG ,Air Conditioner,"LG AC 2 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin+, Viraat Mode, Diet Mode+, 2025 Model US-Q24ENXE",,,"95,990",53500,56175,,56175,,"54,990",,"57,990","38,000","4,490",8.39%,
HAAC111127,LG ,Air Conditioner,"LG AC 1.5 Ton 3 Star Split AC with AI Convertible, 100% Copper Tubes, Diet Mode+, Gold Fin+, Viraat Mode,2025 Model US-Q19WNXE",Standard,1,78990,39000,40950,,40950,,"43,990",,"41,340","37,650","2,340",6.00%,
HAAC111129,LG ,Air Conditioner,"LG AC 1.5 Ton 5 Star Split AC with AI Convertible 6-in-1 Cooling, Anti Virus Protection, Smart Dehumidification, 2025 Model US-Q19KNZE1",,,79900,45990,48289.5,,48289.5,,"50,300",,"48,800","31,100","2,810",6.11%,
HAAC111130,LG ,Air Conditioner,"LG AC 1.0 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin+, Viraat Mode, Dual Inverter Compressor, 2025 Model US-Q12BNXE",,,67990,35490,37264.5,,37264.5,,"37,690",,"37,490","30,500","2,000",5.64%,
HAAC111131,LG ,Air Conditioner,"LG AC 1.0 Ton 5 Star Split AC with AI Convertible 6-in-1 Cooling, HD Filter, Diet Mode+, 100% Copper Tubes, 2025 Model US-Q14ENZE
",,,"75,990",39990,41989.5,,41989.5,,"41,999",,"42,390","33,600","2,400",6.00%,
ELST0109,AO Smith,Instant Water Heater ,AO Smith MiniBot Instant Water Heater - 3 Ltrs,,,5600,3720,3906,,3906,,"3,990",,"3,990","1,610",270,7.26%,
ELST0111,AO Smith,Instant Water Heater ,AO Smith Faston 5L,,,5000,4200,4410,,4410,,"5,100",,"4,800",200,600,14.29%,
ELST0119,AO Smith,Storage Water Heater ,AO Smith Finesse Storage Water Heater 10 Litres,,,13100,8630,9061.5,,9061.5,,"9,327",,"9,000","4,100",370,4.29%,
HAST0110,AO Smith,Storage Water Heater ,AO Smith Xpress Storage Water Heater 10Ltr ,,,13800,9670,10153.5,,10153.5,,"10,490",,"10,490","3,310",820,8.48%,
ELST0120,AO Smith,Storage Water Heater ,AO Smith Finesse Storage Water Heater 15 Litres,,,15200,10210,10720.5,,10720.5,,"11,000",,"11,000","4,200",790,7.74%,
ELST0121,AO Smith,Storage Water Heater ,AO Smith Elegance Prime 15 Ltr,Standard,1,11400,7530,7906.5,,7906.5,,"8,965",,"8,500","2,900",970,12.88%,
ELST0116,AO Smith,Storage Water Heater ,AO Smith Elegance Prime 25 Ltr,,,13100,8710,9145.5,,9145.5,,"9,990",,"9,780","3,320","1,070",12.28%,
HAWP0002,AO Smith,Water Purifier ,AO Smith X6 Plus 5 L RO + SCMT Water Purifier,,,19000,,0,,0,,"17,990",,"16,500","2,500",,#DIV/0!,
HAWP0004,AO Smith,Water Purifier ,AO Smith ProPlanet P4 Pro 5L RO + SCMT Water Purifier,Standard,1,24400,19385,20354.25,,20354.25,,"19,900",20299,"19,800","4,600",415,2.14%,
,AO Smith,Water Purifier ,Pro 8,,,22500,17560,18438,,18438,,,,,,,,
Need to add,AO Smith,Water Purifier ,AO Smith Proplanet P6 10L RO + SCMT Hot & Cold Water Purifier - Black,,,31100,24650,25882.5,,25882.5,,"25,430",,"25,400","5,700",,0.00%,
HAWP0001,AO Smith,Water Purifier ,AO Smith Z2 Pro Under the Counter RO Water Purifier,,,25900,19996,20995.8,,20995.8,,"21,348",,"21,500","4,400","1,504",7.52%,
,AO Smith,Water Softener,CWS-40,,,119000,"90,000","94,500",,"94,500","98,000",,,,,,,
,AO Smith,Water Softener,CWS-25,,,"95,000","70,000","73,500",,"73,500","75,000",,,,,,,
,Eureka Forbes,Water Softener,Aquaguard Select AWS 5000 (3000 Litres per Hour),,,,,0,,0,,,,"81,000",,,,
,Eureka Forbes,Robotic Vacuum Cleaner,Eureka Forbes Vacuum Cleaner Smartclean with Home Mapping Pro,,,33100,26499,27823.95,,27823.95,,"33,100",,"28,500","4,600",,,
,Atomberg,Ceiling Fan,Atomberg Renesa Energy Efficient 1200mm Ceiling Fan with BLDC Motor and Remote ,,,5660,3535,3711.75,,3711.75,,"3,599",,"3,783","1,877",248,7.02%,
,Atomberg,Ceiling Fan,Atomberg Renesa+ 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan ,,,6810,4135,4341.75,,4341.75,,"4,299",,"4,500","2,310",365,8.83%,
,Atomberg,Ceiling Fan,Atomberg Aris Starlight IOT Enabled 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan,,,"15,530",8991,9440.55,,9440.55,,"10,249",,"10,250","5,280","1,259",14.00%,
,Atomberg,Ceiling Fan,Atomberg Renesa Elite 1200 mm BLDC Ceiling Fan with Remote Control & LED Indicators ,,,5660,3775,3963.75,,3963.75,,"4,099",,"4,100","1,560",325,8.61%,
,Atomberg,Ceiling Fan,Atomberg Renesa Elite Smart 1200 mm BLDC Ceiling Fan with Remote Control & LED Indicators,,,,,0,,0,,"4,599",,"4,599","-4,599","4,599",#DIV/0!,
,Atomberg,Ceiling Fan,Ikano,,,,,0,,0,,,,,,,,
,Atomberg,Ceiling Fan,Renesa Prime ,,,,,0,,0,,,,,0,,#DIV/0!,
,Atomberg,Wall Fan,Atomberg Renesa 400mm BLDC motor Energy Saving Wall Fan Remote Control ,,,5660,3441,3613.05,,3613.05,,"3,599",,"3,759","1,901",318,9.24%,
,Atomberg,Pedestal Fan ,Atomberg Renesa 400mm BLDC motor Energy Saving Pedestal Fan with Remote Control ,,,6450,3887,4081.35,,4081.35,,"3,599",,"4,240","2,210",353,9.08%,
,Atomberg,Exhaust Fan,Atomberg Efficio 150mm BLDC motor Energy Saving Exhaust Fan ,Standard,1,3350,1212,1272.6,,1272.6,,"1,399",,"1,350","2,000",138,11.39%,
,Atomberg,Exhaust Fan,Atomberg Studio 150mm BLDC motor Energy Saving Exhaust Fan ,,,3180,1481,1555.05,,1555.05,,"2,246",,"1,630","1,550",149,10.06%,
,Atomberg,Exhaust Fan,Atomberg Studio+ 150mm BLDC motor Energy Saving Exhaust Fan ,,,3640,1775,1863.75,,1863.75,,"1,999",,"1,950","1,690",175,9.86%,
,Atomberg,Mixer Grinder,Atomberg Zenova Mixer Grinder with Unique Coarse Model 4 Jars including Chopper Jar with Hands Free Operation ,,,11999,6113,6418.65,,6418.65,,"6,999",,"7,050","4,949",937,15.33%,
,Superfan,Ceiling Fan,Superfan Super X1 High Speed BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48 inches)  - Brown,Standard,1,6100,2950,3097.5,120,3217.5,,"3,700",,"3,500","2,600",550,18.64%,"1. Good air delivery of 230 CMM to give the right comfort for a good sleep. Highly recommended for those who prefer performance.
2. 5 Star rated; 65% Power saving which would be up to ₹1,500 per year.
3. 5 years warranty. Highest in the market.
4. Less maintenance because dust accumulated on brown colour are less visible.
5. Remote control for convenience."
,Superfan,Ceiling Fan,Superfan Super X1 High Speed BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48 inches) - White or Ivory,Standard,2,6100,2950,3097.5,120,3217.5,,"3,700",,"3,500","2,600",550,18.64%,"1. Good air delivery of 230 CMM to give the right comfort for a good sleep. Highly recommended for those who prefer performance.
2. 5 Star rated; 65% Power saving which would be up to ₹1,500 per year.
3. 5 years warranty. Highest in the market.
4. Remote control for convenience."
,Superfan,Ceiling Fan,"Superfan Super Q High Flow BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48"" inches)",Premium,3,9800,5867,6160.35,120,6280.35,,"5,900",,"6,000","3,800",133,2.27%,
